,title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,DATE,bed_bath,lot_finish,age,p_sqft,finishedsqft_rooms,index,adjusted_price,adj_p_sqft,adj_price_m,group,zpid
58,2300,549 Columbus Ave APT 3,Boston,MA,02118,2300.0,1509537600000,2017-11-01,1,1.0,514,514,1899,APARTMENT,RECENTLY_SOLD,514.0,3.0,Back Bay,2017-11-01,1.0,1.0,118,4.474708171206226,171.33333333333334,205.75985789297002,2389.940414207495,4.649689521804465,0.002389940414207495,high_price_high_freq,59183020
59,3000,50 Charlesgate E APT 207,Boston,MA,02215,3000.0,1509822000000,2017-11-04,2,1.0,600,605,1900,CONDO,RECENTLY_SOLD,600.0,4.0,Fenway,2017-11-01,2.0,1.0083333333333333,117,5.0,150.0,205.75985789297002,3117.3135837489062,5.195522639581511,0.0031173135837489064,low_freq,59167994
60,4100,182 Beacon St UNIT 11,Boston,MA,02116,4100.0,1510174800000,2017-11-08,2,2.0,1000,899,1875,APARTMENT,RECENTLY_SOLD,1000.0,4.0,Back Bay,2017-11-01,1.0,0.899,142,4.1,250.0,205.75985789297002,4260.328564456839,4.260328564456839,0.004260328564456839,high_price_high_freq,59170996
61,900000,224 Hyde Park Ave,Boston,MA,02130,900000.0,1509710400000,2017-11-03,9,3.0,3267,3550,1915,MULTI_FAMILY,RECENTLY_SOLD,3267.0,15.0,Jamaica Plain,2017-11-01,3.0,1.0866238138965412,102,275.4820936639118,217.8,205.75985789297002,935194.0751246718,286.2546908860336,0.9351940751246718,low_price_high_freq,59136063
62,1510000,202 L St,Boston,MA,02127,1510000.0,1512009000000,2017-11-30,9,3.0,3510,2178,1912,MULTI_FAMILY,RECENTLY_SOLD,3510.0,17.0,South Boston,2017-11-01,3.0,0.6205128205128205,105,430.1994301994302,206.47058823529412,205.75985789297002,1569047.8371536161,447.0221758272411,1.569047837153616,low_price_high_freq,59150349
63,705000,36 Havelock St,Boston,MA,02124,705000.0,1509710400000,2017-11-03,8,3.0,3465,3049,1920,MULTI_FAMILY,RECENTLY_SOLD,3465.0,15.0,Mattapan,2017-11-01,2.6666666666666665,0.8799422799422799,97,203.46320346320346,231.0,205.75985789297002,732568.6921809929,211.41953598297053,0.732568692180993,low_price_high_freq,59117539
64,887000,117 Msgr Patrick J Lydon Way,Boston,MA,02124,887000.0,1510779600000,2017-11-15,8,3.0,3598,7100,1900,MULTI_FAMILY,RECENTLY_SOLD,3598.0,16.0,South Dorchester,2017-11-01,2.6666666666666665,1.973318510283491,117,246.52584769316286,224.875,205.75985789297002,921685.71626176,256.1661245863702,0.92168571626176,low_price_high_freq,59114287
65,860000,254 Bremen St,Boston,MA,02128,860000.0,1511182800000,2017-11-20,8,3.0,3208,2000,1900,MULTI_FAMILY,RECENTLY_SOLD,3208.0,14.0,East Boston,2017-11-01,2.6666666666666665,0.6234413965087282,117,268.0798004987531,229.14285714285714,205.75985789297002,893629.8940080198,278.5629345411533,0.8936298940080198,low_price_high_freq,59123328
66,1725000,10 Roanoke Ave,Boston,MA,02130,1725000.0,1533322800000,2018-08-03,6,3.0,4757,14374,1852,SINGLE_FAMILY,RECENTLY_SOLD,4757.0,17.0,Jamaica Plain,2018-08-01,2.0,3.021652301870927,166,362.6235022072735,279.8235294117647,202.69568999999998,1819552.0092213112,382.49989683021045,1.819552009221311,low_price_high_freq,59133846
67,1399000,14 Rockview St,Boston,MA,02130,1399000.0,1534345200000,2018-08-15,8,8.0,4633,11296,2015,MULTI_FAMILY,RECENTLY_SOLD,4633.0,16.0,Jamaica Plain,2018-08-01,1.0,2.4381610187783296,3,301.9641700841787,289.5625,202.69568999999998,1475683.0497974576,318.5156593562395,1.4756830497974576,low_price_high_freq,190073425
68,1425000,1051 Centre St,Boston,MA,02130,1425000.0,1535569200000,2018-08-29,5,3.5,4490,15656,1910,SINGLE_FAMILY,RECENTLY_SOLD,4490.0,12.0,Jamaica Plain,2018-08-01,1.4285714285714286,3.4868596881959912,108,317.3719376391982,374.1666666666667,202.69568999999998,1503108.1815306484,334.76796916050074,1.5031081815306484,low_price_high_freq,59135605
69,3150000,304 Shawmut Ave,Boston,MA,02118,3150000.0,1533135600000,2018-08-01,5,5.0,4432,1742,1890,MULTI_FAMILY,RECENTLY_SOLD,4432.0,11.0,South End,2018-08-01,1.0,0.39305054151624547,128,710.7400722021661,402.90909090909093,202.69568999999998,3322660.19075196,749.697696469305,3.32266019075196,high_price_high_freq,2102669520
70,560000,282 Columbia Rd,Boston,MA,02121,560000.0,1533884400000,2018-08-10,6,3.0,4248,2613,1935,MULTI_FAMILY,RECENTLY_SOLD,4248.0,18.0,Roxbury,2018-08-01,2.0,0.6151129943502824,83,131.82674199623352,236.0,202.69568999999998,590695.1450225706,139.0525294309253,0.5906951450225706,low_price_high_freq,239892297
71,1225000,32 Sumner St,Boston,MA,02125,1225000.0,1534446000000,2018-08-16,10,6.0,4200,5662,1900,SINGLE_FAMILY,RECENTLY_SOLD,4200.0,12.0,North Dorchester,2018-08-01,1.6666666666666667,1.348095238095238,118,291.6666666666667,350.0,202.69568999999998,1292145.629736873,307.65372136592214,1.2921456297368732,low_price_high_freq,59104306
72,1387500,30 Mount Vernon St,Boston,MA,02108,1387500.0,1533106800000,2018-08-01,0,1.0,4195,1742,1855,MULTI_FAMILY,RECENTLY_SOLD,4195.0,16.0,Beacon Hill,2018-08-01,0.0,0.41525625744934447,163,330.7508939213349,262.1875,202.69568999999998,1463552.7030693158,348.8802629485854,1.4635527030693158,low_freq,59099885
73,955000,40 Constance Rd,Boston,MA,02132,955000.0,1533236400000,2018-08-02,4,4.0,4000,11078,2011,SINGLE_FAMILY,RECENTLY_SOLD,4000.0,10.0,West Roxbury,2018-08-01,1.0,2.7695,7,238.75,400.0,202.69568999999998,1007346.1848152766,251.83654620381915,1.0073461848152767,low_price_high_freq,190070505
74,483500,1150 Bennington St,Boston,MA,02128,483500.0,1533106800000,2018-08-01,9,3.0,3888,3114,1900,MULTI_FAMILY,RECENTLY_SOLD,3888.0,18.0,East Boston,2018-08-01,3.0,0.8009259259259259,118,124.35699588477367,216.0,202.69568999999998,510001.9689614516,131.17334592629928,0.5100019689614516,low_price_high_freq,59120535
75,2525000,6 Union Park,Boston,MA,02118,2525000.0,1534748400000,2018-08-20,9,8.0,4833,2743,1900,MULTI_FAMILY,RECENTLY_SOLD,4833.0,16.0,South End,2018-08-01,1.125,0.5675563831988413,118,522.4498241258018,302.0625,202.69568999999998,2663402.216396412,551.086740408941,2.663402216396412,high_price_high_freq,246886452
