title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,zpid
457057,346 Congress St # 314,Boston,MA,02210,457057,1535742000000,8/31/18,1,1,769,769,1899,CONDO,RECENTLY_SOLD,769,3,South Boston,90137470
549000,227 D St APT 3,Boston,MA,02127,549000,1535742000000,8/31/18,2,1,776,776,1920,CONDO,RECENTLY_SOLD,776,4,South Boston,61320128
727500,594 E 6th St # 1,Boston,MA,02127,727500,1535742000000,8/31/18,2,2,1150,1150,1890,CONDO,RECENTLY_SOLD,1150,4,South Boston,123848192
375000,483 Beacon St APT 12B,Boston,MA,02115,375000,1535727600000,8/31/18,1,1,315,315,1895,MULTI_FAMILY,RECENTLY_SOLD,315,3,Back Bay,59169148
500000,6 Raynes Rd,Boston,MA,02136,500000,1535698800000,8/31/18,3,2,1306,6098,1956,SINGLE_FAMILY,RECENTLY_SOLD,1306,7,Hyde Park,59127316
640000,10 Williams St APT 26,Boston,MA,02119,640000,1535698800000,8/31/18,2,1,1200,1200,1920,CONDO,RECENTLY_SOLD,1200,3,Roxbury,63041862
2075000,1 Charles St S UNIT 9G,Boston,MA,02116,2075000,1535698800000,8/31/18,2,2.5,1715,1715,2004,CONDO,RECENTLY_SOLD,1715,4,Back Bay,67710239
677500,170 Tremont St APT 403,Boston,MA,02111,677500,1535698800000,8/31/18,1,1,690,690,1989,CONDO,RECENTLY_SOLD,690,3,Chinatown,59164752
530000,558 Washington St # 1,Boston,MA,02135,530000,1535698800000,8/31/18,3,1,1211,2400,1915,CONDO,RECENTLY_SOLD,1211,7,Brighton,67097696
865000,27-37 Chestnut St # 303,Boston,MA,02108,865000,1535698800000,8/31/18,2,2.5,1126,1126,1989,CONDO,RECENTLY_SOLD,1126,4,Beacon Hill,59098478
545000,26 Vinton St # 1,Boston,MA,02127,545000,1535698800000,8/31/18,2,1,650,650,1910,CONDO,RECENTLY_SOLD,650,4,South Boston,81856000
688000,151 Tremont St APT 20H,Boston,MA,02111,688000,1535698800000,8/31/18,1,1,605,605,1968,CONDO,RECENTLY_SOLD,605,3,Chinatown,59181713
385000,335-337 Meridian St UNIT 3,Boston,MA,02128,385000,1535698800000,8/31/18,2,1,809,809,1900,CONDO,RECENTLY_SOLD,809,3,East Boston,81853871
515000,730 E 8th St # 3,Boston,MA,02127,515000,1535698800000,8/31/18,2,1,610,610,1987,CONDO,RECENTLY_SOLD,610,4,South Boston,59148759
510000,74 Fenway APT 52,Boston,MA,02115,510000,1535698800000,8/31/18,1,1,425,425,1920,APARTMENT,RECENTLY_SOLD,425,2,Fenway,59176868
935000,508 Columbus Ave APT 3,Boston,MA,02118,935000,1535698800000,8/31/18,2,1,978,978,1900,CONDO,RECENTLY_SOLD,978,5,South End,59183237
400000,34 E Newton St # 2,Boston,MA,02118,400000,1535698800000,8/31/18,1,1,405,405,1925,CONDO,RECENTLY_SOLD,405,3,South End,59183546
550000,15 N Beacon St # 515,Boston,MA,02134,550000,1535698800000,8/31/18,2,1.5,922,922,1989,SINGLE_FAMILY,RECENTLY_SOLD,922,4,Allston,59086789
525000,489 E 3rd St APT 2,Boston,MA,02127,525000,1535698800000,8/31/18,2,1,605,605,1899,CONDO,RECENTLY_SOLD,605,4,South Boston,102987419
765750,85 E India Row APT 29E,Boston,MA,02110,765750,1535698800000,8/31/18,1,1,858,858,1972,CONDO,RECENTLY_SOLD,858,3,Downtown,59175466
5075000,128 Beacon St UNIT E,Boston,MA,02116,5075000,1535698800000,8/31/18,3,3.5,2936,2936,1899,CONDO,RECENTLY_SOLD,2936,7,Back Bay,71546611
335000,15 Keswick St APT 1,Boston,MA,02215,335000,1535655600000,8/30/18,0,1,292,292,1910,CONDO,RECENTLY_SOLD,292,2,Kenmore,59168521
845000,15 Lawley St,Boston,MA,02122,845000,1535655600000,8/30/18,8,3,2890,2178,1900,MULTI_FAMILY,RECENTLY_SOLD,2890,17,South Dorchester,59119004
385000,88 Cedar St APT 3,Boston,MA,02119,385000,1535655600000,8/30/18,2,1,900,903,1900,CONDO,RECENTLY_SOLD,900,4,Roxbury,87793293
585000,243 North St APT 4,Boston,MA,02113,585000,1535655600000,8/30/18,1,1,628,628,1920,CONDO,RECENTLY_SOLD,628,3,North End,59181354
1275000,63 Atlantic Ave # 7A,Boston,MA,02110,1275000,1535655600000,8/30/18,1,1,1065,1065,1918,CONDO,RECENTLY_SOLD,1065,3,North End,59178271
860000,20 Old Rd,Boston,MA,02121,860000,1535655600000,8/30/18,4,1.5,1400,3484,1905,MULTI_FAMILY,RECENTLY_SOLD,1400,,Roxbury,59110732
675000,41 Warren Ave APT 1,Boston,MA,02116,675000,1535655600000,8/30/18,1,1,896,897,1890,CONDO,RECENTLY_SOLD,896,3,South End,59175772
590000,8 Kerwin St,Boston,MA,02124,590000,1535655600000,8/30/18,6,3,3413,4356,1900,MULTI_FAMILY,RECENTLY_SOLD,3413,14,Roxbury,59114065
557500,7 Cedar St # 1,Boston,MA,02129,557500,1535655600000,8/30/18,1,1,645,645,1890,CONDO,RECENTLY_SOLD,645,5,Charlestown,59162920
520000,27 Woodbine St,Boston,MA,02119,520000,1535655600000,8/30/18,4,3,2322,3484,1890,SINGLE_FAMILY,RECENTLY_SOLD,2322,9,Roxbury,59186774
515000,29 Fayette St APT G-1,Boston,MA,02116,515000,1535641200000,8/30/18,1,1,511,511,1890,CONDO,RECENTLY_SOLD,511,3,Bay Village,59175978
920000,76 Cornell St,Boston,MA,02131,920000,1535641200000,8/30/18,5,2.5,2337,5642,2006,SINGLE_FAMILY,RECENTLY_SOLD,2337,8,Roslindale,59146181
449000,95 Sunnyside St,Boston,MA,02136,449000,1535612400000,8/30/18,5,2,2640,5740,1920,MULTI_FAMILY,RECENTLY_SOLD,2640,11,Hyde Park,190004504
415000,30 Kinross Rd APT 9,Boston,MA,02135,415000,1535612400000,8/30/18,2,1,835,835,1947,CONDO,RECENTLY_SOLD,835,4,Brighton,59093178
2629000,25 Channel Center St # PH102,Boston,MA,02210,2629000,1535612400000,8/30/18,3,3,2220,2220,2005,CONDO,RECENTLY_SOLD,2220,6,South Boston,67715556
560000,35 Coffey St UNIT 3,Boston,MA,02122,560000,1535612400000,8/30/18,2,2,1311,1311,2008,CONDO,RECENTLY_SOLD,1311,4,South Dorchester,113413520
365050,124 Sutherland Rd APT 3,Boston,MA,02135,365050,1535612400000,8/30/18,1,1,560,560,1947,CONDO,RECENTLY_SOLD,560,3,Brighton,59093118
819000,21 N Bennet St # 3G,Boston,MA,02113,819000,1535612400000,8/30/18,1,1.5,765,765,1899,CONDO,RECENTLY_SOLD,765,3,North End,59163820
522000,32 Woodlawn St # 1,Boston,MA,02130,522000,1535612400000,8/30/18,2,1,1154,1154,1910,CONDO,RECENTLY_SOLD,1154,6,Jamaica Plain,81859451
1484330,10 Rowes Wharf APT 1201,Boston,MA,02110,1484330,1535612400000,8/30/18,2,2.5,2341,2341,1987,CONDO,RECENTLY_SOLD,2341,6,Downtown,59163957
945000,228 Allandale Rd # 2A,Boston,MA,02130,945000,1535612400000,8/30/18,2,2.5,2613,2613,1989,CONDO,RECENTLY_SOLD,2613,6,West Roxbury,59210539
530000,27 Plainfield St,Boston,MA,02130,530000,1539802800000,10/17/18,3,2,1231,1230,1989,TOWNHOUSE,RECENTLY_SOLD,1231,7,Jamaica Plain,59130603
500000,111 Running Brook Rd,Boston,MA,02132,500000,1539716400000,10/16/18,3,3,1637,6098,1963,SINGLE_FAMILY,RECENTLY_SOLD,1637,8,West Roxbury,59160203
835000,11 Danville St,Boston,MA,02132,835000,1539716400000,10/16/18,5,3,2270,5339,1920,SINGLE_FAMILY,RECENTLY_SOLD,2270,9,West Roxbury,59156536
700000,18 Northbourne Rd,Boston,MA,02130,700000,1539630000000,10/15/18,4,2,1970,3139,1920,MULTI_FAMILY,RECENTLY_SOLD,1970,10,Jamaica Plain,190015702
790000,47 Harvard St APT B303,Boston,MA,02129,790000,1539630000000,10/15/18,2,2,926,926,1986,CONDO,RECENTLY_SOLD,926,4,Charlestown,59099135
275000,59 Wood Ave,Boston,MA,02136,275000,1539615600000,10/15/18,4,2,992,3200,1945,SINGLE_FAMILY,RECENTLY_SOLD,992,8,Mattapan,59139872
1300000,500 Atlantic Ave UNIT 17C,Boston,MA,02210,1300000,1539370800000,10/12/18,2,2,1132,1132,2006,CONDO,RECENTLY_SOLD,1132,4,Downtown,81857957
420000,137 Florence St,Boston,MA,02131,420000,1539370800000,10/12/18,2,2,1003,1003,1920,CONDO,RECENTLY_SOLD,1003,5,Roslindale,67406117
1200000,93 Fort Ave,Boston,MA,02119,1200000,1539284400000,10/11/18,4,3,2940,2327,1900,MULTI_FAMILY,RECENTLY_SOLD,2940,9,Roxbury,59185690
595000,26 Payson Ave,Boston,MA,02125,595000,1539270000000,10/11/18,6,3,1929,2178,1900,MULTI_FAMILY,RECENTLY_SOLD,1929,12,North Dorchester,59105424
791000,175 Northampton St APT 1,Boston,MA,02118,791000,1539241200000,10/11/18,2,2,1354,1354,1905,CONDO,RECENTLY_SOLD,1354,5,South End,120921755
